,0
0,corrina corrina
1,gal where you been so long
2,corrina corrina
3,gal where you been so long
4,i been worr in about you baby
5,baby please come home
6,i got a bird that whistles
7,i got a bird that sings
8,i got a bird that whistles
9,i got a bird that sings
10,but i ain t a got corrina
11,life don t mean a thing
12,corrina corrina
13,gal you re on my mind
14,corrina corrina
15,gal you re on my mind
16,i was sittin down thinking of you
17,i just can t keep from crying
18,so run here baby put your little hands in mine
19,i ve got something to tell you
20,i know you re gonna change your mind
21,when things go wrong so wrong with you
22,it hurts me too
23,i want you baby just to understand
24,i don t wanna be your boss baby
25,i just wanna be your man
26,when things go wrong so wrong with you
27,it hurts me too
28,now when you go home you don t have to get along
29,come back to me baby
30,where i live that s where you belong
31,when things go wrong so wrong with you
32,it hurts me too
33,i love you baby and you know that it s true
34,i wouldn t mistreat you baby
35,nothing in this world is like you
36,yes when things go wrong so wrong with you
37,it hurts me too
38,when things go wrong so wrong with you
39,it hurts me too
40,so run here baby put your little hands in mine
41,i ve got something to tell you baby
42,i know you re gonna change your mind
43,when things go wrong so wrong with you
44,don t you know really don t you know it hurts me too
45,prayed in the ghetto with my face in the cement
46,heard the last moan of a boxer seen the massacre of the innocent
47,felt around for the light switch became nauseated
48,she was walking down the hallway while the walls deteriorated
49,east of the jordan hard as the rock of gibraltar
50,i see the burning of the page curtain risin on a new age
51,see the groom still waitin at the altar
52,try to be pure at heart they arrest you for robbery
53,mistake your shyness for aloofness your silence for snobbery
54,got the message this morning the one that was sent to me
55,about the madness of becomin what one was never meant to be
56,west of the jordan east of the rock of gibraltar
57,i see the burning of the stage
58,curtain risin on a new age
59,see the groom still waitin at the altar
60,don t know what i can say about claudette that wouldn t come back to haunt me
61,finally had to give her up bout the time she began to want me
62,but i know god has mercy on them who are slandered and humiliated
63,i d a done anything for that woman if she didn t make me feel so obligated
64,west of the jordan west of the rock of gibraltar
65,i see the burning of the cage
66,curtain risin on a new stage
67,see the groom still waitin at the altar
68,put your hand on my head baby do i have a temperature
69,i see people who are supposed to know better standin around like furniture
70,there s a wall between you and what you want and you got to leap it
71,tonight you got the power to take it tomorrow you won t have the power to
72,keep it
73,west of the jordan east of the rock of gibraltar
74,i see the burning of the stage curtain risin on a new age
75,see the groom still waitin at the altar
76,cities on fire phones out of order
77,they re killing nuns and soldiers there s fighting on the border
78,what can i say about claudette
79,ain t seen her since january
80,she could be respectably married or running a whorehouse in buenos aires
81,west of the jordan west of the rock of gibraltar
82,i see the burning of the stage
83,curtain risin on a new age
84,see the groom still waitin at the altar
85,your breath is sweet
86,your eyes are like two jewels in the sky
87,your back is straight your hair is smooth
88,on the pillow where you lie
89,but i don t sense affection
90,no gratitude or love
91,your loyalty is not to me
92,but to the stars above
93,one more cup of coffee for the road
94,one more cup of coffee fore i go
95,to the valley below
96,your daddy he s an outlaw
97,and a wanderer by trade
98,he ll teach you how to pick and choose
99,and how to throw the blade
100,he oversees his kingdom
101,so no stranger does intrude
102,his voice it trembles as he calls out
103,for another plate of food
104,one more cup of coffee for the road
105,one more cup of coffee fore i go
106,to the valley below
107,your sister sees the future
108,like your mama and yourself
109,you ve never learned to read or write
110,there s no books upon your shelf
111,and your pleasure knows no limits
112,your voice is like a meadowlark
113,but your heart is like an ocean
114,mysterious and dark
115,one more cup of coffee for the road
116,one more cup of coffee fore i go
117,to the valley below
118,johnny s in the basement
119,mixing up the medicine
120,i m on the pavement
121,thinking about the government
122,the man in a trench coat
123,badge out laid off
124,says he s got a bad cough
125,wants to get it paid off
126,look out kid
127,it s somethin you did
128,god knows when
129,but you re doin it again
130,you better duck down the alley way
131,lookin for a new friend
132,a man in a coon skin cap
133,in a pig pen
134,wants eleven dollar bills
135,you only got ten
136,maggie comes fleet foot
137,face full of black soot
138,talkin that the heat put
139,plants in the bed but
140,the phone s tapped anyway
141,maggie says that many say
142,they must bust in early may
143,orders from the da
144,look out kid
145,don t matter what you did
146,walk on your tip toes
147,don t tie no bows
148,better stay away from those
149,that carry around a fire hose
150,keep a clean nose
151,watch the plainclothes
152,you don t need a weather man
153,to know which way the wind blows
154,ah get sick get well
155,hang around an ink well
156,ring bell hard to tell
157,if anything is gonna sell
158,try hard get barred
159,get back write braille
160,get jailed jump bail
161,join the army if you fail
162,look out kid
163,you re gonna get hit
164,by losers cheaters
165,six time users
166,hanging round the theaters
167,girl by the whirlpool is
168,lookin for a new fool
169,don t follow leaders
170,watch the parkin meters
171,ah get born keep warm
172,short pants romance learn to dance
173,get dressed get blessed
174,try to be a success
175,please her please him buy gifts
176,don t steal don t lift
177,twenty years of schoolin
178,and they put you on the day shift
179,look out kid
180,they keep it all hid
181,better jump down a manhole
182,light yourself a candle
183,don t wear sandals
184,try to avoid the scandals
185,don t wanna be a bum
186,you better chew gum
187,the pump don t work
188,cause the vandals took the handles
189,some enchanted evening you may see a stranger
190,you may see a stranger across a crowded room
191,and somehow you know you know even then
192,that somehow you ll see her again and again
193,some enchanted evening someone may be laughing
194,you may hear her laughing across a crowded room
195,and night after night as strange as it seems
196,the sound of her laughter will sing in your dreams
197,who can explain it who can tell you why
198,fools give you reasons wise men never try
199,some enchanted evening when you find your true love
200,when you hear her call you across a crowded room
201,then fly to her side and make her your own
202,or all through your life you may dream all alone
203,once you have found her never let her go
204,once you have found her never let her go
205,precious angel under the sun
206,how was i to know you d be the one
207,to show me i was blinded to show me i was gone
208,how weak was the foundation i was standing upon
209,now there s spiritual warfare and flesh and blood breaking down
210,ya either got faith or ya got unbelief and there ain t neutral ground
211,the enemy is subtle how be it we are so deceived
212,when the truth s in our hearts and we still don t believe
213,shine you light shine your light on me
214,shine you light shine your light on me
215,shine you light shine your light on me
216,ya know i just couldn t make it by myself
217,i m a little too blind to see
218,my so called friends have fallen under a spell
219,they look me squarely in the eye and they say well all is well
220,can they imagine the darkness that will fall from on high
221,when men will beg god to kill them and they won t be able to die
222,sister lemme tell you about a vision that i saw
223,you were drawing water for your husband you were suffering under the law
224,you were telling him about buddha you were telling him about mohammed in the same breath
225,you never mentioned one time the man who came and died a criminal s death
226,shine you light shine your light on me
227,shine you light shine your light on me
228,shine you light shine your light on me
229,ya know i just couldn t make it by myself
230,i m a little too blind to see
231,precious angel you believe me when i say
232,what god has given to us no man can take away
233,we are covered in blood girl you know our forefathers were slaves
234,let us hope they ve found mercy in their bone filled graves
235,you re the queen of my flesh girl you re my woman you re my delight
236,you re the lamb of my soul girl and you touch up the night
237,but there s violence in the eyes girl so let us not be enticed
238,on the way out of egypt through ethiopia to the judgement hall of christ
239,shine you light shine your light on me
240,shine you light shine your light on me
241,shine you light shine your light on me
242,ya know i just couldn t make it by myself
243,i m a little too blind to see
244,there was a little boy
245,and there was a little girl
246,and they lived in an alley under the red sky
247,there was a little boy
248,and there was a little girl
249,and they lived in an alley under the red sky
250,there was an old man
251,and he lived in the moon
252,one summer s day he came passing by
253,there was an old man
254,and he lived in the moon
255,and one day he came passing by
256,some day little girl
257,everything for you is gonna be new
258,some day little girl
259,you ll have a diamond as big as your shoe
260,let the wind blow low
261,let the wind blow high
262,one day the little boy and the little girl were both baked in a pie
263,let the wind blow low
264,let the wind blow high
265,one day the little boy and the little girl were both baked in a pie
266,this is the key to the kingdom
267,and this is the town
268,this is the blind horse
269,that leads you around
270,let the bird sing
271,let the bird fly
272,one day the man in the moon went home and the river went dry
273,let the bird sing
274,let the bird fly
275,the man in the moon went home and the river went dry
276,come around you rovin gamblers and a story i will tell
277,about the greatest gambler you all should know him well
278,his name was will o conley and he gambled all his life
279,he had twenty seven children yet he never had a wife
280,and it s ride willie ride
281,roll willie roll
282,wherever you are a gamblin now nobody really knows
283,he gambled in the white house and in the railroad yards
284,wherever there was people there was willie and his cards
285,he had the reputation as the gamblin est man around
286,wives would keep their husbands home when willie came to town
287,and it s ride willie ride
288,roll willie roll
289,wherever you are a gamblin now nobody really knows
290,sailin down the mississippi to a town called new orleans
291,they re still talkin about their card game on that jackson river queen
292,i ve come to win some money gamblin willie says
293,when the game finally ended up the whole damn boat was his
294,and it s ride willie ride
295,roll willie roll
296,wherever you are a gamblin now nobody really knows
297,up in the rocky mountains in a town called cripple creek
298,there was an all night poker game lasted about a week
299,nine hundred miners had laid their money down
300,when willie finally left the room he owned the whole damn town
301,and it s ride willie ride
302,roll willie roll
303,wherever you are a gamblin now nobody really knows
304,but willie had a heart of gold and this i know is true
305,he supported all his children and all their mothers too
306,he wore no rings or fancy things like other gamblers wore
307,he spread his money far and wide to help the sick and the poor
308,and it s ride willie ride
309,roll willie roll
310,wherever you are a gamblin now nobody really knows
311,when you played your cards with willie you never really knew
312,whether he was bluffin or whether he was true
313,he won a fortune from a man who folded in his chair
314,the man he left a diamond flush willie didn t even have a pair
315,and it s ride willie ride
316,roll willie roll
317,wherever you are a gamblin now nobody really knows
318,it was late one evenin during a poker game
319,a man lost all his money he said willie was to blame
320,he shot poor willie through the head which was a tragic fate
321,when willie s cards fell on the floor they were aces backed with eights
322,and it s ride willie ride
323,roll willie roll
324,wherever you are a gamblin now nobody really knows
325,so all you rovin gamblers wherever you might be
326,the moral of the story is very plain to see
327,make your money while you can before you have to stop
328,for when you pull that dead man s hand your gamblin days are up
329,and it s ride willie ride
330,roll willie roll
331,wherever you are a gamblin now nobody really knows
332,smoky autumn night stars up in the sky
333,i see the sailin boats across the bay go by
334,eucalyptus trees hang above the street
335,and then i turn my head for you re approachin me
336,moonlight on the water fisherman s daughter floatin in to my room
337,with a golden loom
338,first we wash our feet near the immortal shrine
339,and then our shadows meet and then we drink the wine
340,i see the hungry clouds up above your face
