,title,text
0,"Corrina, Corrina","

Corrina, Corrina
Gal, where you been so long?
Corrina, Corrina
Gal where you been so long?
I been worr'in' about you, baby
Baby, please come home

I got a bird that whistles
I got a bird that sings
I got a bird that whistles
I got a bird that sings
But I ain't a-got Corrina
Life don't mean a thing

Corrina, Corrina
Gal, you're on my mind
Corrina, Corrina
Gal, you're on my mind
I was sittin' down thinking of you
I just can't keep from crying
"
1,It Hurts Me Too,"

So run here baby, put your little hands in mine
I've got something to tell you
I know you're gonna change your mind
When things go wrong, so wrong with you
It hurts me too.

I want you, baby, just to understand
I don't wanna be your boss, baby
I just wanna be your man
When things go wrong, so wrong with you
It hurts me too.

Now when you go home, you don't have to get along
Come back to me, baby
Where I live that's where you belong
When things go wrong, so wrong with you
It hurts me too.

I love you baby, and you know that it's true
I wouldn't mistreat you, baby
Nothing in this world is like you
Yes, when things go wrong, so wrong with you
It hurts me too
When things go wrong, so wrong with you
It hurts me too.

So run here baby, put your little hands in mine
I've got something to tell you, baby
I know you're gonna change your mind
When things go wrong, so wrong with you
Don't you know, really, don't you know it hurts me too.
"
2,The Groom's Still Waiting At The Altar,"

Prayed in the ghetto with my face in the cement,
Heard the last moan of a boxer, seen the massacre of the innocent
Felt around for the light switch, became nauseated.
She was walking down the hallway while the walls deteriorated.

East of the Jordan, hard as the Rock of Gibraltar,
I see the burning of the page, Curtain risin' on a new age,
See the groom still waitin' at the altar.

Try to be pure at heart, they arrest you for robbery,
Mistake your shyness for aloofness, your silence for snobbery,
Got the message this morning, the one that was sent to me
About the madness of becomin' what one was never meant to be.

West of the Jordan, east of the Rock of Gibraltar,
I see the burning of the stage,
Curtain risin' on a new age,
See the groom still waitin' at the altar.

Don't know what I can say about Claudette that wouldn't come back to haunt me,
Finally had to give her up 'bout the time she began to want me.
But I know God has mercy on them who are slandered and humiliated.
I'd a-done anything for that woman if she didn't make me feel so obligated.

West of the Jordan, west of the Rock of Gibraltar,
I see the burning of the cage,
Curtain risin' on a new stage,
See the groom still waitin' at the altar.

Put your hand on my head, baby, do I have a temperature?
I see people who are supposed to know better standin' around like furniture.
There's a wall between you and what you want and you got to leap it,
Tonight you got the power to take it, tomorrow you won't have the power to
Keep it.

West of the Jordan, east of the Rock of Gibraltar,
I see the burning of the stage, Curtain risin' on a new age,
See the groom still waitin' at the altar.

Cities on fire, phones out of order,
They're killing nuns and soldiers, there's fighting on the border.
What can I say about Claudette?
Ain't seen her since January,
She could be respectably married or running a whorehouse in Buenos Aires.

West of the Jordan, west of the Rock of Gibraltar,
I see the burning of the stage,
Curtain risin' on a new age,
See the groom still waitin' at the altar.
"
3,One More Cup Of Coffee,"

Your breath is sweet
Your eyes are like two jewels in the sky
Your back is straight your hair is smooth
On the pillow where you lie
But I don't sense affection
No gratitude or love
Your loyalty is not to me
But to the stars above

One more cup of coffee for the road
One more cup of coffee 'fore I go.
To the valley below.

Your daddy he's an outlaw
And a wanderer by trade
He'll teach you how to pick and choose
And how to throw the blade
He oversees his kingdom
So no stranger does intrude
His voice it trembles as he calls out
For another plate of food.

One more cup of coffee for the road
One more cup of coffee 'fore I go.
To the valley below.

Your sister sees the future 
Like your mama and yourself
You've never learned to read or write
There's no books upon your shelf
And your pleasure knows no limits
Your voice is like a meadowlark
But your heart is like an ocean
Mysterious and dark.

One more cup of coffee for the road
One more cup of coffee 'fore I go.
To the valley below.
"
4,Subterranean Homesick Blues,"

Johnny's in the basement
Mixing up the medicine
I'm on the pavement
Thinking about the government
The man in a trench coat
Badge out, laid off
Says he's got a bad cough
Wants to get it paid off

Look out, kid
It's somethin' you did
God knows when
But you're doin' it again
You better duck down the alley way
Lookin' for a new friend
A man in a coon-skin cap
In a pig pen
Wants eleven dollar bills
You only got ten.

Maggie comes fleet foot
Face full of black soot
Talkin' that the heat put
Plants in the bed but
The phone's tapped anyway
Maggie says that many say
They must bust in early May
Orders from the DA

Look out, kid
Don't matter what you did
Walk on your tip toes
Don't tie no bows
Better stay away from those
That carry around a fire hose
Keep a clean nose
Watch the plainclothes
You don't need a weather man
To know which way the wind blows.

Ah, get sick, get well
Hang around an ink well
Ring bell, hard to tell
If anything is gonna sell
Try hard, get barred
Get back, write Braille
Get jailed, jump bail
Join the army, if you fail

Look out kid
You're gonna get hit
By losers, cheaters
Six-time users
Hanging 'round the theaters
Girl by the whirlpool is
Lookin' for a new fool
Don't follow leaders
Watch the parkin' meters.

Ah, get born, keep warm
Short pants, romance, learn to dance
Get dressed, get blessed
Try to be a success
Please her, please him, buy gifts
Don't steal, don't lift
Twenty years of schoolin'
And they put you on the day shift

Look out kid
They keep it all hid
Better jump down a manhole
Light yourself a candle
Don't wear sandals
Try to avoid the scandals
Don't wanna be a bum
You better chew gum
The pump don't work
'Cause the vandals took the handles.
"
5,Some Enchanted Evening,"

Some enchanted evening, you may see a stranger
You may see a stranger across a crowded room
And somehow you know, you know even then
That somehow you'll see her again and again

Some enchanted evening, someone may be laughing
You may hear her laughing across a crowded room
And night after night, as strange as it seems
The sound of her laughter will sing in your dreams

Who can explain it, who can tell you why?
Fools give you reasons, wise men never try

Some enchanted evening, when you find your true love
When you hear her call you across a crowded room
Then fly to her side and make her your own
Or all through your life you may dream all alone

Once you have found her, never let her go
Once you have found her, never let her go
"
6,Precious Angel,"

Precious angel, under the sun
How was I to know you'd be the one
To show me I was blinded, to show me I was gone
How weak was the foundation I was standing upon ?

Now there's spiritual warfare and flesh and blood breaking down
Ya either got faith or ya got unbelief and there ain't neutral ground
The enemy is subtle, how be it we are so deceived
When the truth's in our hearts and we still don't believe ?

Shine you light, shine your light on me
Shine you light, shine your light on me
Shine you light, shine your light on me
Ya know I just couldn't make it by myself
I'm a little too blind to see.

My so called friends have fallen under a spell
They look me squarely in the eye and they say, ""Well all is well'""
Can they imagine the darkness that will fall from on high
When men will beg God to kill them and they won't be able to die.

Sister, lemme tell you about a vision that I saw
You were drawing water for your husband, you were suffering under the law
You were telling him about Buddha, you were telling him about Mohammed in the same breath
You never mentioned one time the Man who came and died a criminal's death.

Shine you light, shine your light on me
Shine you light, shine your light on me
Shine you light, shine your light on me
Ya know I just couldn't make it by myself
I'm a little too blind to see.

Precious angel, you believe me when I say
What God has given to us no man can take away
We are covered in blood girl, you know our forefathers were slaves
Let us hope they've found mercy in their bone-filled graves.

You're the queen of my flesh, girl, you're my woman, you're my delight
You're the lamb of my soul, girl, and you touch up the night 
But there's violence in the eyes, girl, so let us not be enticed
On the way out of Egypt, through Ethiopia, to the judgement hall of Christ.

Shine you light, shine your light on me
Shine you light, shine your light on me
Shine you light, shine your light on me
Ya know I just couldn't make it by myself
I'm a little too blind to see.
"
7,Under The Red Sky,"

There was a little boy
And there was a little girl
And they lived in an alley under the red sky.

There was a little boy
And there was a little girl
And they lived in an alley under the red sky.

There was an old man 
And he lived in the moon
One summer's day he came passing by.

There was an old man 
And he lived in the moon
And one day he came passing by.

Some day little girl
Everything for you is gonna be new
Some day little girl
You'll have a diamond as big as your shoe.

Let the wind blow low
Let the wind blow high
One day the little boy and the little girl were both baked in a pie.

Let the wind blow low
Let the wind blow high
One day the little boy and the little girl were both baked in a pie.

This is the key to the kingdom
And this is the town
This is the blind horse
That leads you around.

Let the bird sing
Let the bird fly
One day the man in the moon went home and the river went dry.

Let the bird sing
Let the bird fly
The man in the moon went home and the river went dry.
"
8,"Rambling, Gambling Willie","

Come around you rovin' gamblers and a story I will tell
About the greatest gambler, you all should know him well
His name was Will O'Conley and he gambled all his life
He had twenty-seven children, yet he never had a wife
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

He gambled in the White House and in the railroad yards
Wherever there was people, there was Willie and his cards
He had the reputation as the gamblin'est man around
Wives would keep their husbands home when Willie came to town
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

Sailin' down the Mississippi to a town called New Orleans
They're still talkin' about their card game on that Jackson River Queen
""I've come to win some money,"" Gamblin' Willie says
When the game finally ended up, the whole damn boat was his
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

Up in the Rocky Mountains in a town called Cripple Creek
There was an all-night poker game, lasted about a week
Nine hundred miners had laid their money down
When Willie finally left the room, he owned the whole damn town
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

But Willie had a heart of gold and this I know is true
He supported all his children and all their mothers too
He wore no rings or fancy things, like other gamblers wore
He spread his money far and wide, to help the sick and the poor
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

When you played your cards with Willie, you never really knew
Whether he was bluffin' or whether he was true
He won a fortune from a man who folded in his chair
The man, he left a diamond flush, Willie didn't even have a pair
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

It was late one evenin' during a poker game
A man lost all his money, he said Willie was to blame
He shot poor Willie through the head, which was a tragic fate
When Willie's cards fell on the floor, they were aces backed with eights
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows

So all you rovin' gamblers, wherever you might be
The moral of the story is very plain to see
Make your money while you can, before you have to stop
For when you pull that dead man's hand, your gamblin' days are up
And it's ride, Willie, ride
Roll, Willie, roll
Wherever you are a-gamblin' now, nobody really knows
"
9,Golden Loom,"

Smoky autumn night, stars up in the sky
I see the sailin' boats across the bay go by
Eucalyptus trees hang above the street
And then I turn my head, for you're approachin' me
Moonlight on the water, fisherman's daughter, floatin' in to my room
With a golden loom

First we wash our feet near the immortal shrine
And then our shadows meet and then we drink the wine
I see the hungry clouds up above your face
And then the tears roll down, what a bitter taste
And then you drift away on a summer's day where the wildflowers bloom
With your golden loom

I walk across the bridge in the dismal light
Where all the cars are stripped between the gates of night
I see the trembling lion with the lotus flower tail
And then I kiss your lips as I lift your veil
But you're gone and then all I seem to recall is the smell of perfume
And your golden loom
"
