title,text
"A ""Thank You"" Note","
There is much I owe
to those I do not love.
The relief in accepting
they are closer to another.
Joy that I am not
the wolf to their sheep.
My peace be with them
for with them I am free,
and this, love can neither give,
nor know how to take.
I don't wait for them
from window to door.
Almost as patient
as a sun dial,
I understand
what love does not understand.
I forgive
what love would never have forgiven.
Between rendezvous and letter
no eternity passes,
only a few days or weeks.
My trips with them always turn out well.
Concerts are heard.
Cathedrals are toured.
Landscapes are distinct.
And when seven rivers and mountains
come between us,
they are rivers and mountains
well known from any map.
It is thanks to them
that I live in three dimensions,
in a non-lyrical and non-rhetorical space,
with a shifting, thus real, horizon.
They don't even know
how much they carry in their empty hands.
""I don't owe them anything"",
love would have said
on this open topic. 



              Copyright ©: 
                    Translated from Polish by: Joanna Maria Trzeciak        


"
A Few Words On The Soul,"
We have a soul at times.
No one’s got it non-stop,
for keeps.
Day after day,
year after year
may pass without it.
Sometimes
it will settle for awhile
only in childhood’s fears and raptures.
Sometimes only in astonishment
that we are old.
It rarely lends a hand
in uphill tasks,
like moving furniture,
or lifting luggage,
or going miles in shoes that pinch.
It usually steps out
whenever meat needs chopping
or forms have to be filled.
For every thousand conversations
it participates in one,
if even that,
since it prefers silence.
Just when our body goes from ache to pain,
it slips off-duty.
It’s picky:
it doesn’t like seeing us in crowds,
our hustling for a dubious advantage
and creaky machinations make it sick.
Joy and sorrow
aren’t two different feelings for it.
It attends us
only when the two are joined.
We can count on it
when we’re sure of nothing
and curious about everything.
Among the material objects
it favors clocks with pendulums
and mirrors, which keep on working
even when no one is looking.
It won’t say where it comes from
or when it’s taking off again,
though it’s clearly expecting such questions.
We need it
but apparently
it needs us
for some reason too.



              From: 
                    translated from the Polish by Stanislaw Baranczak and Clare Cavanagh        


"
A Funeral,"
""so suddenly, who would've expected this""
""stress and cigarettes, I was warning him""
""fair to middling, thanks""
""unwrap these flowers""
""his brother snuffed because of his ticker too, must be running in the family""
""I'd never recognise you with your beard""
""it's all his fault, he was always up to some funny business""
""the new one was to give a speech, can't see him, though""
""Kazek's in Warsaw and Tadek abroad""
""you're the only wise one here, having an umbrella""
""it won't help him now that he was the most talented of them all""
""that's a connecting room. Ba?ka won't like it""
""he was right, true, but that's not the reason for""
""with door varnishing, guess how much""
""two eggs and a spoonful of sugar""
""none of his business, what was the point then""
""blue and small sizes only""
""five times and never a single answer""
""I'll give your that, I could've, but so could you""
""so good at least she had that job""
""I've no idea, must be relatives""
""the priest, very much like Belmondo""
""I've never been to this part of the cemetery""
""I saw him in my dream last week, must've been a premonition""
""pretty, that little daughter""
""we're all going to end up this way""
""give mine to the widow, I've got to hurry to""
""but still it sounded more solemn in Latin""
""you can't turn back the clock""
""goodbye""
""how about a beer""
""give me a ring, we'll have a chat""
""number four or number twelve""
""me, this way""
""we, that way"".



              Copyright ©: 
                    Translated by Mikołaj Sekreck        


"
Birthday,"
So much world all at once – how it rustles and bustles!
Moraines and morays and morasses and mussels,
The flame, the flamingo, the flounder, the feather –
How to line them all up, how to put them together?
All the tickets and crickets and creepers and creeks!
The beeches and leeches alone could take weeks.
Chinchillas, gorillas, and sarsaparillas –
Thanks do much, but all this excess of kindness could kill us.
Where’s the jar for this burgeoning burdock, brooks’ babble,
Rooks’ squabble, snakes’ quiggle, abundance, and trouble?
How to plug up the gold mines and pin down the fox,
How to cope with the linx, bobolinks, strptococs!
Tale dioxide: a lightweight, but mighty in deeds:
What about octopodes, what about centipedes?
I could look into prices, but don’t have the nerve:
These are products I just can’t afford, don’t deserve.
Isn’t sunset a little too much for two eyes
That, who knows, may not open to see the sun rise?
I am just passing through, it’s a five-minute stop.
I won’t catch what is distant: what’s too close, I’ll mix up.
While trying to plumb what the void's inner sense is,
I'm bound to pass by all these poppies and pansies.
What a loss when you think how much effort was spent
perfecting this petal, this pistil, this scent
for the one-time appearance, which is all they're allowed,
so aloofly precise and so fragilely proud.



              From: 
                    translated from Polish by Stanislaw Baranczak and Clare Cavanagh         


"
Children Of Our Age,"
We are children of our age,
it's a political age.
All day long, all through the night,
all affairs--yours, ours, theirs--
are political affairs.
Whether you like it or not,
your genes have a political past,
your skin, a political cast,
your eyes, a political slant.
Whatever you say reverberates,
whatever you don't say speaks for itself.
So either way you're talking politics.
Even when you take to the woods,
you're taking political steps
on political grounds.
Apolitical poems are also political,
and above us shines a moon
no longer purely lunar.
To be or not to be, that is the question.
And though it troubles the digestion
it's a question, as always, of politics.
To acquire a political meaning
you don't even have to be human.
Raw material will do,
or protein feed, or crude oil,
or a conference table whose shape
was quarreled over for months;
Should we arbitrate life and death
at a round table or a square one?
Meanwhile, people perished,
animals died,
houses burned,
and the fields ran wild
just as in times immemorial
and less political. "
Dreams,"
 Despite the geologists’ knowledge and craft,
mocking magnets, graphs, and maps—
in a split second the dream
piles before us mountains as stony
as real life.
And since mountains, then valleys, plains
with perfect infrastructures.
Without engineers, contractors, workers,
bulldozers, diggers, or supplies—
raging highways, instant bridges,
thickly populated pop-up cities.
Without directors, megaphones, and cameramen—
crowds knowing exactly when to frighten us
and when to vanish.
Without architects deft in their craft,
without carpenters, bricklayers, concrete pourers—
on the path a sudden house just like a toy,
and in it vast halls that echo with our steps
and walls constructed out of solid air.
Not just the scale, it’s also the precision—
a specific watch, an entire fly,
on the table a cloth with cross-stitched flowers,
a bitten apple with teeth marks.
And we—unlike circus acrobats,
conjurers, wizards, and hypnotists—
can fly unfledged,
we light dark tunnels with our eyes,
we wax eloquent in unknown tongues,
talking not with just anyone, but with the dead.
And as a bonus, despite our own freedom,
the choices of our heart, our tastes,
we’re swept away
by amorous yearnings for—
and the alarm clock rings.
So what can they tell us, the writers of dream books,
the scholars of oneiric signs and omens,
the doctors with couches for analyses—
if anything fits,
it’s accidental,
and for one reason only,
that in our dreamings,
in their shadowings and gleamings,
in their multiplings, inconceivablings,
in their haphazardings and widescatterings
at times even a clear-cut meaning
may slip through."
Drinking Wine,"
 He looked at me, bestowing beauty,
and I took it for my own.
Happy, I swallowed a star.
I let him invent me
in the image of the reflection
in his eyes. I dance, I dance
in an abundance of sudden wings.
A table is a table, wine is wine
in a wineglass, which is a wineglass
and it stands standing on a table
but I am a phantasm,
a phantasm beyond belief,
a phantasm to the core.
I tell him what he wants to hear—
about ants dying of love
under a dandelion's constellation.
I swear that sprinkled with wine
a white rose will sing.
I laugh, and tilt my head
carefully, as if I were testing
an invention. I dance, I dance
in astounded skin, in the embrace
that creates me.
Eve from a rib, Venus from sea foam,
Minerva from the head of Jove
were much more real.
When he's not looking at me,
I search for my reflection
on the wall. All I see
is a nail on which a painting hung.



              Copyright ©: 
                    Translated by Joanna Trzeciak        


"
Family album,"
No one in this family has ever died of love.
No food for myth and nothing magisterial.
Consumptive Romeos? Juliets diphtherial?
A doddering second childhood was enough.
No death-defying vigils, love-struck poses
over unrequited letters strewn with tears!
Here, in conclusion, as scheduled, appears
a portly, pince-nez'd neighbor bearing roses.
No suffocation-in-the-closet gaffes
because the cuckold returned home too early!
Those frills or furbelows, however flounced and whirly,
barred no one from the family photographs.
No Bosch-like hell within their souls, no wretches
found bleeding in the garden, shirts in stains!
(True, some did die with bullets in their brains,
for other reasons, though, and on field stretchers.)
Even this belle with rapturous coiffure
who may have danced till dawn - but nothing smarter -
hemorrhaged to a better world, b i e n s u r,
but not to taunt or hurt y o u, slick-haired partner.
For others, Death was mad and monumental -
not for these citizens of a sepia past.
Their griefs turned into smiles, their days flew fast,
their vanishing was due to influenza. 



              Copyright ©: 
                    Translated by Stanislaw Baranczak and Clare Cavanagh        


"
Going Home ,"
He came home. Said nothing.
It was clear, though, that something had gone wrong.
He lay down fully dressed.
Pulled the blanket over his head.
Tucked up his knees.
He's nearly forty, but not at the moment.
He exists just as he did inside his mother's womb,
clad in seven walls of skin, in sheltered darkness.
Tomorrow he'll give a lecture
on homeostasis in metagalactic cosmonautics.
For now, though, he has curled up and gone to sleep. "
Hunger Camp At Jaslo,"
Write it. Write. In ordinary ink
on ordinary paper: they were given no food,
they all died of hunger. ""All. How many?
It's a big meadow. How much grass
for each one?"" Write: I don't know.
History counts its skeletons in round numbers.
A thousand and one remains a thousand,
as though the one had never existed:
an imaginary embryo, an empty cradle,
an ABC never read,
air that laughs, cries, grows,
emptiness running down steps toward the garden,
nobody's place in the line.
We stand in the meadow where it became flesh,
and the meadow is silent as a false witness.
Sunny. Green. Nearby, a forest
with wood for chewing and water under the bark-
every day a full ration of the view
until you go blind. Overhead, a bird-
the shadow of its life-giving wings
brushed their lips. Their jaws opened.
Teeth clacked against teeth.
At night, the sickle moon shone in the sky
and reaped wheat for their bread.
Hands came floating from blackened icons,
empty cups in their fingers.
On a spit of barbed wire,
a man was turning.
They sang with their mouths full of earth.
""A lovely song of how war strikes straight
at the heart."" Write: how silent.
""Yes.""



              From: 
                    Translated by Grazyna Drabik and Austin Flint        


"
